candidate_id,name,source_type,provider,primary_url,content_scope,known_scale,access_mode,formats,full_content_potential,rights_lane,rights_status,priority,next_action,last_verified
SRC-NMM-001,National Database of Manuscripts Kriti Sampada,catalogue,National Mission for Manuscripts,https://namami.gov.in/manuscript-database,Manuscript catalogue and selected digital manuscript access across Indian traditions,4407000 electronic records and more than 2500 printed catalogues reported,web_read_only,catalogue records|digital manuscript links,medium,PARTNERSHIP_REQUIRED,Official site states all rights reserved; manuscript rights and access vary by custodian,P1,Seek catalogue export and custodian-level acquisition pathway; do not count metadata as holdings,2026-07-12
SRC-IGN-001,IGNCA Kalanidhi microfilm and digitized manuscripts,physical_collection,Indira Gandhi National Centre for the Arts,https://ignca.gov.in/divisionss/kalanidhi/microfilm-microfische/,Microfilm and digitized manuscripts from Indian and international repositories,Over 278000 manuscripts in 21722 microfilm rolls reported,request_copy,microfilm|digital images|print,high,PARTNERSHIP_REQUIRED,Copying generally requires permission from the original manuscript owner and may be charged,P0,Develop MoU strategy and prioritize owner-clearable Sanatana collections for copy acquisition,2026-07-12
SRC-ICP-001,Indian Culture Portal,collection,Ministry of Culture Government of India,https://indianculture.gov.in/,Manuscripts books archives museum objects images and audiovisual cultural material,Exact relevant object count to query,web_read_only,metadata|images|PDF|audio|video,medium,UNKNOWN_REVIEW_REQUIRED,Portal and contributing-institution rights need object-level review,P2,Use as discovery index then identify full-content objects and contributing custodians,2026-07-12
SRC-GIT-001,Gita Supersite,website,IIT Kanpur,https://www.gitasupersite.iitk.ac.in/,Bhagavad Gita text translations commentaries and related scripture interfaces,Complete Gita interface with multiple interpretive resources; exact inventory to enumerate,web_read_only,HTML text|audio where available,high,PARTNERSHIP_REQUIRED,Content from multiple publishers and commentators requires permission matrix,P1,Request structured export and rights breakdown; separately source open complete Gita editions,2026-07-12
SRC-IA-001,Internet Archive,repository,Internet Archive,https://archive.org/,Scanned books manuscripts recordings and films including many Indic and Sanatana works,Massive cross-domain corpus; relevant inventory requires search and deduplication,api,PDF|DjVu|OCR|EPUB|images|audio|video|metadata,high,UNKNOWN_REVIEW_REQUIRED,Rights are item-specific and uploader metadata is not conclusive legal clearance,P1,Query metadata to create candidate inventory then rights-check and completeness-test each edition,2026-07-12
SRC-PG-001,Project Gutenberg,repository,Project Gutenberg Literary Archive Foundation,https://www.gutenberg.org/,Public-domain electronic editions including translations of Indian narrative and religious works,Relevant title count to enumerate,bulk_download,EPUB|HTML|plain text|metadata,high,OPEN_REUSE,Project Gutenberg status is principally determined under US law and its trademark licence; destination-jurisdiction review still required,P1,Enumerate Sanatana and Indic narrative titles and reconcile each against its print edition,2026-07-12
SRC-WS-001,Wikisource language editions,repository,Wikimedia Foundation and contributors,https://wikisource.org/,Community transcriptions and scans of source texts across languages,Large multilingual corpus; relevant work inventory to query,bulk_download,wiki XML dumps|proofread pages|PDF/DjVu links,high,OPEN_REUSE,Text is generally CC BY-SA and/or public domain with item-level source status; attribution and share-alike obligations apply,P1,Query category inventories and dumps by language; retain scan lineage and proofread status,2026-07-12
SRC-IAST-001,Internet Sacred Text Archive,repository,Sacred-texts.com,https://sacred-texts.com/hin/index.htm,Older English translations of Hindu scriptures epics Puranas and related works,Relevant Hindu collection count to enumerate,item_download,HTML|text|images,medium,UNKNOWN_REVIEW_REQUIRED,Many underlying editions may be public domain but site formatting and item status require verification,P2,Inventory editions then prefer traceable public-domain scans or transcriptions from primary repositories,2026-07-12
SRC-BORI-001,Bhandarkar Oriental Research Institute,physical_collection,Bhandarkar Oriental Research Institute,https://bori.ac.in/,Critical editions manuscripts Indological publications and major Mahabharata scholarship,Institution reports a major manuscript collection; exact current inventory to request,partnership,manuscripts|critical editions|catalogues|publications,high,PARTNERSHIP_REQUIRED,Critical editions publications and manuscript images require institutional agreement,P0,Open partnership discussion focused on edition manifests lawful digital copies and Mahabharata holdings,2026-07-12
SRC-IFP-001,French Institute of Pondicherry manuscript collections,physical_collection,French Institute of Pondicherry,https://www.ifpindia.org/,Shaiva Siddhanta and other South Indian manuscript and research collections,More than 2000 paper transcripts represented through Muktabodha collaboration,partnership,manuscripts|transcripts|catalogues|digital images,high,PARTNERSHIP_REQUIRED,Custodial and collaboration terms govern copying and reuse,P0,Engage jointly with IFP and Muktabodha for permissioned full collection acquisition,2026-07-12
SRC-NDLI-001,National Digital Library of India,catalogue,IIT Kharagpur / Ministry of Education,https://ndl.iitkgp.ac.in/,Aggregator across books theses manuscripts and educational collections,Very large aggregator; relevant full-content count to enumerate,web_read_only,metadata|links|some hosted content,low,METADATA_ONLY_PENDING,Many records link to third-party providers and do not grant bulk content rights,P3,Use for discovery and source tracing only; acquire full content from originating custodians,2026-07-12
