corpus_id,domain,subdomain,corpus_or_collection,scope_tier,languages,geography_tradition,desired_representation,unit_of_completeness,minimum_complete_package,priority,primary_acquisition_route,agent_can_acquire_without_user_action,user_action_required,digital_availability,preferred_source_or_partner,rights_status,inventory_status,source_url,notes
COR-0011,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Kapisthala-Katha Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0012,01 Shruti and Vedic,Samhita,Atharvaveda — Shaunaka Samhita,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0013,01 Shruti and Vedic,Samhita,Atharvaveda — Paippalada Samhita (Kashmir and Odisha witnesses),CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete recension with accent marks; pada/krama variants where extant; edition scans; structural index,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0014,01 Shruti and Vedic,Brahmana,Aitareya Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0015,01 Shruti and Vedic,Brahmana,Kaushitaki/Shankhayana Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0016,01 Shruti and Vedic,Brahmana,Panchavimsha/Tandya Mahabrahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0017,01 Shruti and Vedic,Brahmana,Shadvimsha Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0018,01 Shruti and Vedic,Brahmana,Samavidhana Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0019,01 Shruti and Vedic,Brahmana,Arsheya Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0020,01 Shruti and Vedic,Brahmana,Devata/Daivata Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0021,01 Shruti and Vedic,Brahmana,Chandogya/Mantra Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0022,01 Shruti and Vedic,Brahmana,Samhitopanishad Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0023,01 Shruti and Vedic,Brahmana,Vamsha Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0024,01 Shruti and Vedic,Brahmana,Jaiminiya Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0025,01 Shruti and Vedic,Brahmana,Jaiminiya Arsheya Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0026,01 Shruti and Vedic,Brahmana,Jaiminiya Upanishad Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0027,01 Shruti and Vedic,Brahmana,Taittiriya Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0028,01 Shruti and Vedic,Brahmana,Shatapatha Brahmana — Madhyandina recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0029,01 Shruti and Vedic,Brahmana,Shatapatha Brahmana — Kanva recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0030,01 Shruti and Vedic,Brahmana,Gopatha Brahmana,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0031,01 Shruti and Vedic,Aranyaka,Aitareya Aranyaka,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0032,01 Shruti and Vedic,Aranyaka,Kaushitaki/Shankhayana Aranyaka,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0033,01 Shruti and Vedic,Aranyaka,Taittiriya Aranyaka,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0034,01 Shruti and Vedic,Aranyaka,Talavakara/Jaiminiya Upanishad Brahmana aranyaka material,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0035,01 Shruti and Vedic,Aranyaka,Brihadaranyaka — Madhyandina recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0036,01 Shruti and Vedic,Aranyaka,Brihadaranyaka — Kanva recension,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0037,01 Shruti and Vedic,Principal Upanishads,Isha Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0038,01 Shruti and Vedic,Principal Upanishads,Kena Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0039,01 Shruti and Vedic,Principal Upanishads,Katha Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0040,01 Shruti and Vedic,Principal Upanishads,Prashna Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0041,01 Shruti and Vedic,Principal Upanishads,Mundaka Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0042,01 Shruti and Vedic,Principal Upanishads,Mandukya Upanishad and Gaudapada Karika,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0043,01 Shruti and Vedic,Principal Upanishads,Taittiriya Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0044,01 Shruti and Vedic,Principal Upanishads,Aitareya Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0045,01 Shruti and Vedic,Principal Upanishads,Chandogya Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0046,01 Shruti and Vedic,Principal Upanishads,Brihadaranyaka Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0047,01 Shruti and Vedic,Principal Upanishads,Shvetashvatara Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0048,01 Shruti and Vedic,Principal Upanishads,Kaushitaki Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0049,01 Shruti and Vedic,Principal Upanishads,Maitri/Maitrayaniya Upanishad,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,one work-version-edition-representation,complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0050,01 Shruti and Vedic,Minor Upanishads,Muktika canon of 108 Upanishads,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,each named Upanishad and each recension/commentarial edition,all 108 titles reconciled to the Muktika list; full Sanskrit; major translations and commentaries,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,Expand the collection into 108 child work records during reconciliation.
COR-0051,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Shiksha corpus (phonetics and recitation manuals),CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0052,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Pratishakhya corpus by Vedic school,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0053,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Chandas corpus including Pingala,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0054,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Vyakarana Vedic corpus including Panini and predecessors,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0055,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Nirukta and Nighantu corpus,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0056,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Kalpa — Shrautasutra corpus by school,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
COR-0057,01 Shruti and Vedic,Vedanga and ancillary Vedic corpus,Kalpa — Grihyasutra corpus by school,CORE,Sanskrit,Pan-Indian,Edition-specific full text plus scans and structure,"each school-specific root text, recension and commentary",complete work; all books/chapters/verses; front/back matter; edition metadata,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,CONDITIONAL,Item-level rights review,PARTIAL,GRETIL|Ambuda|Internet Archive|institutional catalogues,MIXED_OR_UNKNOWN,TARGET_ENUMERATED_NOT_RECONCILED,,
